Geneid,Tumor_SRR30510137,Tumor_SRR30510151,Tumor_SRR30510181,Normal_SRR28602760,Normal_SRR28602761,Normal_SRR28602767
ENSG00000236648,0,2,0,0,0,0
ENSG00000232273,4,4,2,0,1,0
ENSG00000009709,28,400,0,92,38,4
ENSG00000287396,0,0,0,0,0,0
ENSG00000158008,26,127,226,2322,1812,407
ENSG00000130940,37,134,64,56,88,34
ENSG00000163879,2691,1945,1296,1529,1477,1755
ENSG00000227527,4,10,28,17,18,31
ENSG00000116954,626,399,344,1058,1122,1514
ENSG00000228589,151,90,58,8,14,12
ENSG00000163873,1557,522,3252,1606,680,376
ENSG00000117215,0,0,0,6,4,10
ENSG00000230163,0,0,0,0,0,0
ENSG00000227538,0,0,0,0,0,0
ENSG00000044012,0,0,0,0,0,0
ENSG00000179051,2286,850,893,1720,2004,2956
ENSG00000215895,6,18,0,0,0,2
ENSG00000284650,12,4,805,75,48,13
ENSG00000237329,0,0,0,0,2,0
ENSG00000236948,0,9,0,22,34,4
ENSG00000126067,14424,6711,7640,4452,4177,5537
ENSG00000274944,0,0,1,2,27,34
ENSG00000272078,2,5,0,36,41,14
ENSG00000230451,0,0,0,2,11,5
ENSG00000231606,2,0,0,4,16,11
ENSG00000215900,2,4,0,2,0,0
ENSG00000284632,0,0,0,0,0,0
ENSG00000241014,0,0,0,16,21,20
ENSG00000054118,31660,17482,8397,4566,5241,6594
ENSG00000254553,0,0,9,4,1,1
ENSG00000284653,0,0,0,1,0,0
ENSG00000237749,2,4,1,4,6,2
ENSG00000276747,0,3,0,0,4,0
ENSG00000284705,0,10,62,6,20,8
ENSG00000228776,0,0,0,0,0,2
ENSG00000159339,0,0,25,211,90,6
ENSG00000261781,0,10,0,0,0,0
ENSG00000284743,0,0,0,0,0,10
ENSG00000158315,63,23,36,165,817,1610
ENSG00000186973,32,8,0,8,12,13
ENSG00000146463,12857,7879,1398,2907,3005,2761
ENSG00000271741,0,0,0,0,0,0
ENSG00000142686,3399,3375,2457,5224,2460,1556
ENSG00000224751,7,4,0,0,0,0
ENSG00000117148,0,0,0,4,4,0
ENSG00000230585,2,13,0,0,0,4
ENSG00000117000,2635,4563,1570,2077,2965,2078
ENSG00000284989,0,0,0,0,0,0
ENSG00000231630,0,0,0,0,0,0
ENSG00000092853,4662,865,713,64,58,44
ENSG00000255811,0,0,0,0,0,2
ENSG00000134697,7370,6301,2088,1167,1650,2260
ENSG00000187513,0,0,0,136,74,124
ENSG00000225142,0,0,0,0,0,0
ENSG00000230138,2,0,0,6,2,4
ENSG00000223390,2,2,0,0,0,0
ENSG00000284720,0,0,0,0,0,0
ENSG00000225671,0,14,0,0,0,0
ENSG00000116151,324,203,173,275,257,186
ENSG00000006555,22,0,0,38,38,4
ENSG00000236111,0,0,1,0,2,0
ENSG00000066056,10,0,0,1595,1408,1804
ENSG00000214114,493,221,226,171,194,345
ENSG00000116544,16,32,150,4271,3183,388
ENSG00000231900,0,0,0,0,0,2
ENSG00000236723,18,0,0,19,11,17
ENSG00000232467,4,4,0,0,0,0
ENSG00000117016,749,784,1167,10770,6246,1252
ENSG00000169213,439,6917,1805,468,420,176
ENSG00000163866,2640,1257,1606,1529,1170,1584
ENSG00000237130,6,0,0,0,0,0
ENSG00000232335,0,0,0,2,1,2
ENSG00000260971,26,4,0,2,6,17
ENSG00000284696,2,2,0,0,2,0
ENSG00000238242,0,1,0,0,2,0
ENSG00000285839,0,0,0,0,0,0
ENSG00000232762,1,2,0,0,0,0
ENSG00000162384,4616,1933,3041,2843,3965,3815
ENSG00000162391,0,4,0,9,10,2
ENSG00000117859,7578,5301,2145,2811,6307,6204
ENSG00000228121,0,2,0,0,2,0
ENSG00000253313,2,2,0,6,10,21
ENSG00000162396,733,472,794,163,140,284
ENSG00000284686,6,4,19,1,4,6
ENSG00000162378,8711,8507,2120,3817,2920,2539
ENSG00000233079,0,0,0,0,0,4
ENSG00000259818,10,4,70,4,2,8
ENSG00000229444,4,9,0,0,11,2
ENSG00000240563,0,0,0,4,17,2
ENSG00000234318,2,2,0,2,6,12
ENSG00000284773,30,81,4,107,104,63
ENSG00000234481,0,0,0,0,0,0
ENSG00000117862,553,266,479,113,111,187
ENSG00000235612,0,0,0,0,0,0
ENSG00000228369,8,4,11,0,2,2
ENSG00000227485,0,0,0,0,0,0
ENSG00000224609,64,114,4,76,36,10
ENSG00000235545,217,33,133,19,26,6
ENSG00000236646,0,0,0,0,0,0
ENSG00000232198,0,0,0,0,0,0
ENSG00000238063,4,2,0,0,0,2
ENSG00000227104,0,0,0,0,0,0
ENSG00000243725,82,44,50,80,84,129
ENSG00000171872,14,0,78,5,22,16
ENSG00000162407,12108,2847,6747,5581,7168,7597
ENSG00000285079,0,0,0,0,0,0
ENSG00000163877,1005,794,333,736,773,1086
ENSG00000228929,123,128,179,19,14,16
ENSG00000224570,0,0,0,0,0,0
ENSG00000224980,0,0,0,0,0,2
ENSG00000278967,2,0,0,2,0,2
ENSG00000157184,1287,580,491,322,533,970
ENSG00000198815,7407,6849,2978,3513,3760,4697
ENSG00000134744,10610,7261,1491,2165,3102,3170
ENSG00000233910,0,0,0,0,0,2
ENSG00000287703,2,0,0,0,0,0
ENSG00000283039,0,8,0,0,0,0
ENSG00000229032,0,2,0,0,0,0
ENSG00000229294,0,0,0,4,2,0
ENSG00000234088,0,0,0,0,0,0
ENSG00000236973,0,0,0,0,0,0
ENSG00000277397,0,4,4,0,2,0
ENSG00000235446,0,0,0,0,0,0
ENSG00000162385,2035,824,862,994,1036,892
ENSG00000234264,6,0,0,2,0,0
ENSG00000223883,0,2,0,2,0,0
ENSG00000237227,0,0,0,0,0,0
ENSG00000275350,0,0,0,0,0,0
ENSG00000116652,104,58,0,32,38,27
ENSG00000123080,3620,415,6947,394,862,1186
ENSG00000285778,2,24,0,0,4,4
ENSG00000233407,0,0,0,0,0,0
ENSG00000225675,4,0,0,45,26,2
ENSG00000237622,0,0,0,0,0,0
ENSG00000162598,4,0,0,32,38,16
ENSG00000280317,0,0,0,0,0,0
ENSG00000162415,1637,955,364,509,663,705
ENSG00000162600,1065,666,594,228,717,1066
ENSG00000116704,5550,2537,961,729,780,1547
ENSG00000157193,13274,4851,182,1592,1645,746
ENSG00000116205,1432,1567,697,466,1239,1935
ENSG00000198841,415,332,486,223,194,180
ENSG00000116212,3340,1648,1465,591,465,712
ENSG00000234204,0,0,0,0,0,0
ENSG00000233099,0,0,0,0,14,8
ENSG00000233994,44,21,0,0,8,10
ENSG00000233973,2,0,0,0,0,0
ENSG00000132854,12,172,71,58,152,1677
ENSG00000227556,0,0,0,0,0,0
ENSG00000162607,15152,6268,2706,980,1680,2574
ENSG00000285954,0,0,0,0,5,0
ENSG00000233333,0,0,0,0,0,0
ENSG00000154027,994,1010,69,13256,12304,14672
ENSG00000234108,0,0,0,0,0,0
ENSG00000232676,0,0,0,0,0,2
ENSG00000225167,0,0,0,0,0,0
ENSG00000213579,0,0,0,0,0,2
ENSG00000137960,32,69,4,89,74,35
ENSG00000237852,1,4,0,0,0,0
ENSG00000116745,572,186,348,26,22,71
ENSG00000132855,8,8,27,2,10,0
ENSG00000285407,0,75,44,0,4,2
ENSG00000270549,0,0,0,0,0,0
ENSG00000237163,1,0,0,0,0,7
ENSG00000229636,0,0,0,0,0,0
ENSG00000116675,2464,7663,1521,6050,10700,18928
ENSG00000162433,4298,8639,5069,3754,3241,1857
ENSG00000213625,9659,3187,4009,2960,3692,4860
ENSG00000227207,2,0,0,0,0,2
ENSG00000227016,0,0,0,2,0,0
ENSG00000233664,0,0,0,2,0,2
ENSG00000158966,2665,3980,177,1312,1043,412
ENSG00000213703,4,0,19,0,0,0
ENSG00000203965,3224,2116,298,838,739,662
ENSG00000223479,0,0,3,0,0,0
ENSG00000233674,0,0,0,1,0,0
ENSG00000153898,0,0,26,8,76,62
ENSG00000117069,2617,799,60,2489,958,68
ENSG00000125703,2728,2365,934,906,3769,6008
ENSG00000285041,32,4,0,2,4,4
ENSG00000285808,0,0,0,2,1,0
ENSG00000229440,0,0,0,0,0,0
ENSG00000234144,0,6,12,1,3,6
ENSG00000277670,0,0,0,0,0,0
ENSG00000227466,5,0,24,0,0,0
ENSG00000230498,19,2,0,13,6,0
ENSG00000285782,0,0,0,0,0,0
ENSG00000162618,114,0,0,276,382,575
ENSG00000224493,0,0,0,0,0,0
ENSG00000131233,0,0,0,2,2,2
ENSG00000272371,8,0,0,4,0,0
ENSG00000287647,7,0,0,6,29,35
ENSG00000229225,0,0,0,0,0,0
ENSG00000230863,0,2,0,0,3,0
ENSG00000225598,0,0,0,0,0,0
ENSG00000286455,0,0,0,0,0,0
ENSG00000225087,2,1,0,6,4,0
ENSG00000280378,108,49,18,48,72,111
ENSG00000230053,0,0,0,1,7,0
ENSG00000137941,6493,3977,853,5518,16023,32635
ENSG00000224326,0,0,0,0,0,0
ENSG00000286548,0,33,17,12,29,14
ENSG00000066135,1833,1151,536,732,808,1025
ENSG00000272094,0,0,0,0,6,0
ENSG00000228853,0,0,0,0,0,2
ENSG00000232453,30,8,79,103,160,108
ENSG00000260386,0,0,0,0,0,0
ENSG00000284895,0,0,0,0,0,0
ENSG00000117174,3878,2587,1108,940,1896,2108
ENSG00000237413,0,0,0,0,2,0
ENSG00000184313,2,0,0,238,287,94
ENSG00000284645,6,24,0,0,0,0
ENSG00000225446,2,2,0,19,44,88
ENSG00000288543,16,12,0,20,5,2
ENSG00000122420,108,287,0,114,72,12
ENSG00000284240,2,2,18,3,2,0
ENSG00000236290,30,14,0,0,0,0
ENSG00000143013,4216,2449,2896,12557,8350,3704
ENSG00000226084,55,65,50,33,30,36
ENSG00000134748,13644,6450,3856,1841,2888,3366
ENSG00000142892,5033,5207,1367,1324,1974,3260
ENSG00000219102,0,0,2,10,3,8
ENSG00000287743,4,3,8,16,10,5
ENSG00000229332,0,0,0,0,0,0
ENSG00000227937,0,0,0,0,0,0
ENSG00000229752,4,0,1,0,0,2
ENSG00000237505,71,30,0,65,74,27
ENSG00000285462,0,0,0,0,0,0
ENSG00000233216,0,0,0,0,1,7
ENSG00000197273,0,0,0,0,0,0
ENSG00000226804,2,0,0,0,0,0
ENSG00000230728,0,2,1,0,0,0
ENSG00000232846,0,0,0,0,0,0
ENSG00000230787,12,8,0,0,2,0
ENSG00000116641,17775,10367,2468,1837,2097,1378
ENSG00000237453,0,0,0,0,0,0
ENSG00000172260,3932,3055,0,4743,2518,1788
ENSG00000285473,0,2,0,0,0,0
ENSG00000237959,0,0,0,0,0,0
ENSG00000231364,0,0,0,0,0,0
ENSG00000234578,0,0,0,0,0,0
ENSG00000137944,4414,1573,1344,1343,1617,1298
ENSG00000229505,0,0,0,0,0,0
ENSG00000228187,0,0,0,0,0,0
ENSG00000182183,7,4,45,23,86,41
ENSG00000236407,0,0,0,0,0,0
ENSG00000271949,0,0,0,0,0,0
ENSG00000227062,0,0,0,0,0,0
ENSG00000067334,14994,10911,1948,1965,2079,2372
ENSG00000235011,0,0,0,0,0,0
ENSG00000226938,0,0,0,0,0,0
ENSG00000213559,0,0,0,0,0,0
ENSG00000287587,0,2,4,2,0,0
ENSG00000142949,4499,13616,5971,5998,7801,9440
ENSG00000116133,27862,9707,4460,6920,8791,19991
ENSG00000232882,0,0,0,3,11,8
ENSG00000171502,8,0,0,793,859,94
ENSG00000116157,1757,172,2169,249,333,332
ENSG00000143036,293,155,200,386,471,290
ENSG00000230817,2,4,0,0,0,0
ENSG00000065243,10362,5025,1226,1295,2314,2805
ENSG00000226759,0,6,0,0,0,0
ENSG00000226960,0,0,0,0,0,0
ENSG00000234080,0,4,0,0,6,0
ENSG00000237899,6,0,0,7,5,3
ENSG00000227290,2,0,0,13,2,1
ENSG00000282898,0,0,0,0,0,0
ENSG00000285409,0,0,0,0,0,0
ENSG00000231090,1,0,0,0,4,2
ENSG00000117528,16088,5844,1498,2152,3015,4547
ENSG00000271723,0,0,0,13,17,14
ENSG00000172339,1300,526,770,542,806,1309
ENSG00000036549,8686,7210,1689,1343,2643,3483
ENSG00000287724,0,0,0,0,2,0
ENSG00000058799,2100,1570,909,886,994,1370
ENSG00000225191,0,0,0,0,0,0
ENSG00000287870,24,12,0,23,25,23
ENSG00000232048,0,0,0,0,0,0
ENSG00000232857,0,0,0,0,0,0
ENSG00000273637,0,0,0,0,0,0
ENSG00000203985,0,0,0,0,0,2
ENSG00000228838,0,0,0,0,0,0
ENSG00000283761,19,14,15,3,3,14
ENSG00000189433,0,0,0,2,0,0
ENSG00000230759,0,0,0,0,0,0
ENSG00000179178,6,2,94,422,4306,8303
ENSG00000142700,3063,1075,20,12,123,538
ENSG00000285525,2,0,0,0,2,0
ENSG00000236098,0,0,0,2,2,4
ENSG00000233514,22,19,1,0,8,0
ENSG00000127124,952,679,1278,894,883,853
ENSG00000266993,15,18,28,20,12,43
ENSG00000223675,2,0,49,12,2,0
ENSG00000229316,12,10,0,0,0,0
ENSG00000287406,0,0,0,12,8,17
ENSG00000225767,23,2,4,1,13,35
ENSG00000234099,0,9,0,0,0,0
ENSG00000137936,1407,544,251,620,739,747
ENSG00000235308,14,0,0,5,10,15
ENSG00000232752,0,0,0,0,0,0
ENSG00000235829,12,0,0,0,4,0
ENSG00000143032,3,12,0,2,6,0
ENSG00000226745,0,2,0,10,0,4
ENSG00000280040,20,4,0,5,7,4
ENSG00000117519,72964,54992,24653,5750,6989,5784
ENSG00000270507,0,0,0,0,0,0
ENSG00000238037,0,0,0,0,0,0
ENSG00000215869,4,4,0,0,2,0
ENSG00000134215,888,202,75,404,293,164
ENSG00000227935,2,4,0,0,0,0
ENSG00000228502,185,17,16,12,5,9
ENSG00000236268,0,20,0,178,44,12
ENSG00000271277,0,0,0,0,0,0
ENSG00000236888,0,0,0,0,0,0
ENSG00000279778,4,0,0,8,2,0
ENSG00000230828,4,0,0,0,0,0
ENSG00000188641,1074,615,602,327,1007,1621
ENSG00000152078,379,260,49,2102,1155,1083
ENSG00000233359,0,0,0,2,0,30
ENSG00000237954,0,0,0,0,0,0
ENSG00000171492,3907,2106,1198,1723,4746,10219
ENSG00000233129,0,0,0,0,0,0
ENSG00000170989,10607,4957,326,2347,2893,1738
ENSG00000233557,0,0,0,0,0,0
ENSG00000237897,2,4,0,0,2,0
ENSG00000116299,2913,865,100,2031,944,341
ENSG00000137962,873,197,173,1337,1191,704
ENSG00000227832,2,0,0,0,0,0
ENSG00000286692,4,0,4,0,0,0
ENSG00000260464,30,28,20,92,57,50
ENSG00000237435,0,0,0,0,0,0
ENSG00000231996,0,0,0,0,0,0
ENSG00000273204,24,38,25,5,10,13
ENSG00000079739,7075,4884,4211,2235,1867,1662
ENSG00000117154,108,1027,221,3240,2468,1600
ENSG00000162377,1198,881,987,1056,924,1101
ENSG00000224613,30,36,7,32,22,8
ENSG00000215871,0,0,0,0,0,0
ENSG00000287372,0,2,0,14,18,62
ENSG00000232542,1,1,0,0,0,0
ENSG00000116774,372,4,2892,489,756,2559
ENSG00000287756,27,25,0,0,0,2
ENSG00000284652,2,0,0,32,109,177
ENSG00000023909,3461,1387,229,714,598,879
ENSG00000069702,68,17,618,1264,871,367
ENSG00000232185,2,0,0,0,0,0
ENSG00000230489,2,2,0,0,0,0
ENSG00000228399,5,6,0,9,9,2
ENSG00000236776,2,8,1,0,2,2
ENSG00000224685,0,0,0,0,0,0
ENSG00000287076,0,6,0,0,0,0
ENSG00000237480,0,0,0,9,2,7
ENSG00000271252,0,0,0,0,0,0
ENSG00000230427,3,2,0,9,8,2
ENSG00000235794,0,0,0,0,0,0
ENSG00000286758,69,19,8,5,30,64
ENSG00000237337,18,7,0,2,0,0
ENSG00000233983,0,0,0,0,0,0
ENSG00000198198,1096,584,709,1899,3604,4867
ENSG00000225183,2,2,0,2,2,2
ENSG00000230402,0,0,0,0,0,0
ENSG00000116793,5154,2331,1017,1928,1447,912
ENSG00000238122,0,0,0,0,0,0
ENSG00000260879,0,0,0,0,0,0
ENSG00000283354,0,0,0,0,0,0
ENSG00000232918,0,0,0,0,0,0
ENSG00000183298,2,4,4,9,13,5
ENSG00000234332,29,8,0,0,2,0
ENSG00000117525,10082,2813,0,4554,4854,1635
ENSG00000225079,0,0,0,0,2,0
ENSG00000226483,0,2,0,0,0,0
ENSG00000224238,102,18,71,6,2,8
ENSG00000229537,0,0,0,19,7,17
ENSG00000162699,0,0,0,0,0,0
ENSG00000162692,9424,1196,525,140,194,108
ENSG00000203914,8,6,0,8,0,0
ENSG00000270457,4,18,0,33,41,7
ENSG00000203858,0,0,0,4,5,0
ENSG00000231987,0,0,0,0,0,0
ENSG00000228057,16,12,5,2,2,6
ENSG00000224445,4,0,0,0,0,0
ENSG00000229842,0,0,0,0,2,0
ENSG00000270631,0,0,0,0,0,2
ENSG00000229201,0,0,0,0,0,0
ENSG00000181656,54,52,30,793,333,37
ENSG00000122481,259,99,31,286,293,322
ENSG00000198162,3154,3072,1440,2777,3301,3519
ENSG00000238198,358,199,69,81,158,127
ENSG00000171517,15,14,0,117,404,62
ENSG00000228852,21,12,12,31,41,40
ENSG00000203864,6,0,2,0,0,0
ENSG00000233482,0,0,0,0,0,0
ENSG00000230250,0,0,0,0,0,0
ENSG00000232878,0,2,0,0,2,0
ENSG00000143079,11203,7024,1674,916,888,1745
ENSG00000232450,75,23,14,34,20,14
ENSG00000223575,5,0,0,0,0,0
ENSG00000230768,0,0,0,0,0,0
ENSG00000235202,0,0,0,0,0,0
ENSG00000272715,16,45,5,12,25,8
ENSG00000235038,0,0,0,2,0,0
ENSG00000085491,4438,1582,794,261,242,457
ENSG00000173947,371,250,178,563,437,313
ENSG00000230434,0,0,0,0,0,0
ENSG00000230718,0,0,0,0,0,0
ENSG00000134198,1200,570,50,121,60,37
ENSG00000235595,0,0,0,11,17,0
ENSG00000226053,12,2,0,2,0,2
ENSG00000226128,0,0,0,0,2,0
ENSG00000198799,3719,3076,1129,1506,2392,3090
ENSG00000279513,23,10,0,14,4,4
ENSG00000117620,2038,1608,331,908,1212,1458
ENSG00000280186,53,17,0,13,8,0
ENSG00000223906,0,0,0,0,0,0
ENSG00000162688,3374,1996,467,1423,1535,1563
ENSG00000197106,0,83,0,7519,2494,317
ENSG00000259946,20,21,0,64,67,20
ENSG00000236137,19,13,8,6,0,8
ENSG00000203859,0,0,0,4,6,0
ENSG00000228086,0,2,0,0,0,0
ENSG00000213421,0,0,0,0,0,0
ENSG00000234020,0,0,0,9,5,8
ENSG00000236804,6,0,17,0,0,0
ENSG00000231072,1,4,0,0,0,0
ENSG00000273406,0,2,0,0,0,0
ENSG00000185946,4467,2245,1021,1139,1366,1788
ENSG00000162627,6400,4573,1977,427,446,591
ENSG00000226715,0,0,2,7,5,0
ENSG00000162695,8649,6794,2313,649,833,1087
ENSG00000265808,8782,5624,2905,2065,2634,3160
ENSG00000225923,0,2,0,0,0,0
ENSG00000134247,6757,9390,1916,1050,855,604
ENSG00000187481,0,0,0,0,0,0
ENSG00000162664,6694,3494,1301,2230,4861,5309
ENSG00000236866,0,0,0,0,1,0
ENSG00000134253,866,320,688,572,906,715
ENSG00000223416,2,2,4,5,0,0
ENSG00000179571,0,0,0,0,4,1
ENSG00000227850,6,2,0,0,0,2
ENSG00000235777,0,1,0,0,0,0
ENSG00000285532,6,2,0,2,1,0
ENSG00000226755,2,0,0,0,0,2
ENSG00000232650,6,0,0,0,2,4
ENSG00000183508,60,134,56,52,18,20
ENSG00000277095,0,0,0,0,0,1
ENSG00000234283,0,0,10,9,17,1
ENSG00000232780,0,0,0,48,74,3
ENSG00000274927,0,0,0,0,0,0
ENSG00000264145,0,0,0,0,0,0
ENSG00000238256,0,0,0,0,0,0
ENSG00000198765,0,2,0,2,2,0
ENSG00000224335,0,0,4,0,2,1
ENSG00000277702,2,23,9,28,7,8
ENSG00000143398,2284,2103,2245,2883,2943,2898
ENSG00000196505,3856,2296,489,289,343,506
ENSG00000223489,0,0,0,0,0,0
ENSG00000230546,0,0,0,0,0,0
ENSG00000213262,0,0,0,0,0,0
ENSG00000287015,0,0,0,0,0,0
ENSG00000235526,0,5,0,1,0,0
ENSG00000228347,8,2,4,0,0,4
ENSG00000236012,0,2,0,0,0,0
ENSG00000270911,0,0,0,0,0,2
ENSG00000134200,0,0,0,2,2,0
ENSG00000065183,5845,5117,1958,630,692,978
ENSG00000227082,283,56,55,392,195,319
ENSG00000226126,0,2,0,0,0,0
ENSG00000163393,211,96,119,1097,3492,5169
ENSG00000163156,3723,3982,2369,1178,1610,1817
ENSG00000143631,16,0,26,24,12,50
ENSG00000228453,0,0,0,0,0,0
ENSG00000274642,3,12,22,31,132,29
ENSG00000237975,69,4,125,139,252,213
ENSG00000261168,35,26,51,46,40,58
ENSG00000287980,0,0,0,0,0,0
ENSG00000229283,0,0,0,0,0,0
ENSG00000226172,0,0,0,0,0,0
ENSG00000079335,1346,739,562,326,392,264
ENSG00000143119,538,4,2495,2022,1368,4100
ENSG00000237278,0,0,0,0,0,0
ENSG00000233432,2,2,0,0,0,0
ENSG00000227700,4,0,0,1,0,4
ENSG00000229911,0,0,0,0,0,0
ENSG00000143520,0,0,0,10,0,6
ENSG00000171943,7158,4608,1668,932,2088,3098
ENSG00000270719,0,0,0,0,0,0
ENSG00000155761,94,16,1,33,42,37
ENSG00000230806,17,13,19,0,1,1
ENSG00000116830,1557,548,479,459,706,1363
ENSG00000234422,0,0,0,0,0,0
